COMMAND     PID             USER   FD      TYPE             DEVICE   SIZE/OFF                NODE NAME
loginwind   386 tokuyamamorimasa  txt       REG               1,16         85 1152921500311897783 /System/Library/Input Methods/PressAndHold.app/Contents/PlugIns/PAH_Extension.appex/Contents/Resources/InfoPlist.loctable
loginwind   386 tokuyamamorimasa  txt       REG               1,16       4060 1152921500312226723 /System/Library/Input Methods/EmojiFunctionRowIM.app/Contents/PlugIns/EmojiFunctionRowIM_Extension.appex/Contents/Resources/InfoPlist.loctable
loginwind   386 tokuyamamorimasa  txt       REG               1,16       9041 1152921500312228531 /System/Library/Input Methods/VietnameseIM.app/Contents/PlugIns/VIM_Extension.appex/Contents/Resources/InfoPlist.loctable
loginwind   386 tokuyamamorimasa  txt       REG               1,16      17136 1152921500312227246 /System/Library/Input Methods/KoreanIM.app/Contents/PlugIns/KIM_Extension.appex/Contents/Resources/InfoPlist.loctable
loginwind   386 tokuyamamorimasa  txt       REG               1,16       5876 1152921500312225121 /System/Library/Input Methods/AinuIM.app/Contents/Resources/InfoPlist.loctable
loginwind   386 tokuyamamorimasa  txt       REG               1,16      14354 1152921500312227612 /System/Library/Input Methods/SCIM.app/Contents/PlugIns/SCIM_Extension.appex/Contents/Resources/InfoPlist.loctable
loginwind   386 tokuyamamorimasa  txt       REG               1,16      11029 1152921500312228218 /System/Library/Input Methods/TrackpadIM.app/Contents/PlugIns/TIM_Extension.appex/Contents/Resources/InfoPlist.loctable
loginwind   386 tokuyamamorimasa  txt       REG               1,16      19621 1152921500312226801 /System/Library/Input Methods/JapaneseIM-KanaTyping.app/Contents/PlugIns/JapaneseIM-KanaTyping.appex/Contents/Resources/InfoPlist.loctable
loginwind   386 tokuyamamorimasa  txt       REG               1,16       4889 1152921500312225184 /System/Library/Input Methods/Assistive Control.app/Contents/Resources/InfoPlist.loctable
loginwind   386 tokuyamamorimasa  txt       REG               1,16      10717 1152921500312227978 /System/Library/Input Methods/TYIM.app/Contents/PlugIns/TYIM_Extension.appex/Contents/Resources/InfoPlist.loctable
loginwind   386 tokuyamamorimasa  txt       REG               1,16       5241 1152921500312228151 /System/Library/Input Methods/TamilIM.app/Contents/Resources/InfoPlist.loctable
loginwind   386 tokuyamamorimasa  txt       REG               1,16      29205 1152921500312228396 /System/Library/Input Methods/TransliterationIM.app/Contents/PlugIns/TransliterationIM_Extension.appex/Contents/Resources/InfoPlist.loctable
loginwind   386 tokuyamamorimasa  txt       REG               1,16      14411 1152921500312227792 /System/Library/Input Methods/TCIM.app/Contents/PlugIns/TCIM_Extension.appex/Contents/Resources/InfoPlist.loctable
loginwind   386 tokuyamamorimasa  txt       REG               1,16       7702 1152921500312226863 /System/Library/Input Methods/JapaneseIM-KanaTyping.app/Contents/PlugIns/JapaneseIM-KanaTyping.appex/Contents/Resources/Roman.tiff
loginwind   386 tokuyamamorimasa  txt       REG               1,16      27522 1152921500312169419 /System/Library/Frameworks/ColorSync.framework/Versions/A/Resources/InfoPlist.loctable
loginwind   386 tokuyamamorimasa  txt       REG               1,16       8070 1152921500312226799 /System/Library/Input Methods/JapaneseIM-KanaTyping.app/Contents/PlugIns/JapaneseIM-KanaTyping.appex/Contents/Resources/Hiragana.tiff
loginwind   386 tokuyamamorimasa  txt       REG               1,16       4132            30318756 /Library/Caches/com.apple.iconservices.store/5B03FC86-1A06-3562-8F79-BCFCAAF4E082.isdata
loginwind   386 tokuyamamorimasa  txt       REG               1,16      16384              496953 /private/var/folders/84/s8rqb2lj6kj4xs5t6z97yx1c0000gn/C/com.apple.loginwindow/com.apple.metal/16777235_322/functions.data
loginwind   386 tokuyamamorimasa  txt       REG               1,16     373520 1152921500312155548 /System/Library/Extensions/IOHIDFamily.kext/Contents/PlugIns/IOHIDLib.plugin/Contents/MacOS/IOHIDLib
loginwind   386 tokuyamamorimasa  txt       REG               1,16      32768            30340111 /private/var/folders/84/s8rqb2lj6kj4xs5t6z97yx1c0000gn/C/com.apple.loginwindow/com.apple.metal/32023/libraries.data
loginwind   386 tokuyamamorimasa  txt       REG               1,16     638976            30453886 /private/var/folders/84/s8rqb2lj6kj4xs5t6z97yx1c0000gn/C/com.apple.iconservices/store.index
loginwind   386 tokuyamamorimasa  txt       REG               1,16     143443            31039312 /private/var/db/analyticsd/events.allowlist
loginwind   386 tokuyamamorimasa  txt       REG               1,16    8322880 1152921500312159951 /System/Library/Fonts/SFNS.ttf
loginwind   386 tokuyamamorimasa  txt       REG               1,16    1305088 1152921500312161672 /System/Library/Frameworks/AppKit.framework/Versions/C/Resources/Assets.car
loginwind   386 tokuyamamorimasa  txt       REG               1,16     298624 1152921500312133552 /System/Library/CoreServices/TextInputMenuCore.bundle/Contents/MacOS/TextInputMenuCore
loginwind   386 tokuyamamorimasa  txt       REG               1,16    7863180 1152921500312160564 /System/Library/Fonts/ヒラギノ角ゴシック W3.ttc
